X,Y,Z
408646.3388,166378.1631,1709.158447
408657.762,166361.7463,1714.620361
408669.1851,166345.3294,1715.429199
408680.6082,166328.9126,1718.283325
408692.0314,166312.4958,1719.333984
408703.4545,166296.079,1721.309692
408714.8776,166279.6622,1724.084351
408726.3008,166263.2453,1730.712402
408737.7239,166246.8285,1734.714722
408749.147,166230.4117,1736.693848
408760.5702,166213.9949,1739.986084
408771.9933,166197.5781,1740.288818
408783.4164,166181.1612,1744.60083
408794.8396,166164.7444,1745.721313
408806.2627,166148.3276,1750.567993
408817.6858,166131.9108,1752.91748
408829.109,166115.4939,1757.154175
408840.5321,166099.0771,1762.093872
408851.9553,166082.6603,1764.27417
408863.3784,166066.2435,1768.467529
408874.8015,166049.8267,1770.117188
408886.2247,166033.4098,1775.332031
408897.6478,166016.993,1776.725708
408909.0709,166000.5762,1780.772827
408920.4941,165984.1594,1782.688843
408931.9172,165967.7426,1785.968994
408943.3403,165951.3257,1789.029663
408954.7635,165934.9089,1790.450195
408966.1866,165918.4921,1793.062134
408977.6097,165902.0753,1793.732788
408989.0329,165885.6585,1797.685791
409000.456,165869.2416,1799.682617
409011.8791,165852.8248,1805.008423
409023.3023,165836.408,1807.439697
409034.7254,165819.9912,1807.703735
409046.1485,165803.5744,1808.699219
409057.5717,165787.1575,1809.112671
409068.9948,165770.7407,1810.402588
409080.4179,165754.3239,1810.940674
409091.8411,165737.9071,1811.169678
409103.2642,165721.4903,1810.246094
409114.6873,165705.0734,1808.635498
409126.1105,165688.6566,1802.581543
409137.5336,165672.2398,1794.888306
409148.9567,165655.823,1791.860718
409160.3799,165639.4061,1793.44751
409171.803,165622.9893,1797.4375
409183.2261,165606.5725,1799.531982
409194.6493,165590.1557,1804.071289
409206.0724,165573.7389,1807.279297
409217.4955,165557.322,1812.853149
409228.9187,165540.9052,1819.405273
409240.3418,165524.4884,1822.963501
409251.765,165508.0716,1828.623291
409263.1881,165491.6548,1832.180298
409274.6112,165475.2379,1838.340576
409286.0344,165458.8211,1841.262817
409297.4575,165442.4043,1847.542358
409308.8806,165425.9875,1853.683716
409320.3038,165409.5707,1856.271851
409331.7269,165393.1538,1860.828613
409343.15,165376.737,1861.995483
409354.5732,165360.3202,1863.740479
409365.9963,165343.9034,1862.228027
409377.4194,165327.4866,1860.930054
409388.8426,165311.0697,1860.075806
409400.2657,165294.6529,1858.213623
409411.6888,165278.2361,1857.643921
409423.112,165261.8193,1854.706665
409434.5351,165245.4024,1852.324829
409445.9582,165228.9856,1851.087524
409457.3814,165212.5688,1848.315796
409468.8045,165196.152,1845.063477
409480.2276,165179.7352,1843.311035
409491.6508,165163.3183,1839.050537
409503.0739,165146.9015,1833.877686
409514.497,165130.4847,1830.616943
409525.9202,165114.0679,1824.771484
409537.3433,165097.6511,1818.60376
409548.7664,165081.2342,1821.220581
409560.1896,165064.8174,1829.670776
409571.6127,165048.4006,1834.556641
409583.0358,165031.9838,1841.171875
409594.459,165015.567,1847.291992
409605.8821,164999.1501,1850.62915
