POINT_X,POINT_Y,RASTERVALU
447085.2566,5057465.339,1510.282349
447101.7543,5057454.034,1510.31897
447118.2519,5057442.729,1511.186646
447134.7496,5057431.424,1511.355469
447151.2472,5057420.119,1511.782593
447167.7448,5057408.814,1512.587158
447184.2426,5057397.509,1514.088379
447200.7402,5057386.204,1515.345337
447217.2379,5057374.899,1516.486694
447233.7355,5057363.594,1517.405273
447250.2331,5057352.289,1518.043823
447266.7308,5057340.984,1518.142944
447283.2284,5057329.679,1518.119263
447299.726,5057318.374,1517.95874
447316.2237,5057307.069,1518.100098
447332.7214,5057295.764,1517.74585
447349.219,5057284.459,1516.744629
447365.7166,5057273.154,1516.091431
447382.2143,5057261.849,1515.350098
447398.7119,5057250.544,1514.963623
447415.2095,5057239.239,1513.976318
447431.7071,5057227.934,1513.48291
447448.2047,5057216.629,1512.244019
447464.7024,5057205.324,1508.948853
447481.2001,5057194.019,1507.151978
447497.6977,5057182.714,1506.402588
447514.1953,5057171.409,1506.394409
447530.6929,5057160.104,1507.014404
447547.1905,5057148.799,1507.334961
447563.6881,5057137.494,1507.069458
447580.1857,5057126.189,1506.355225
447596.6833,5057114.884,1506.607666
447613.1809,5057103.579,1506.790039
447629.6785,5057092.274,1506.729614
447646.1762,5057080.969,1506.82605
447662.6738,5057069.663,1506.834961
447679.1714,5057058.359,1506.167114
447695.669,5057047.054,1505.888062
447712.1666,5057035.749,1506.084961
447728.6642,5057024.443,1506.832886
447745.1618,5057013.138,1507.5177
447761.6594,5057001.833,1508.121094
447778.157,5056990.529,1508.511963
447794.6547,5056979.223,1508.562744
447811.1522,5056967.918,1508.712036
447827.6498,5056956.613,1508.818237
447844.1474,5056945.308,1508.740601
447860.645,5056934.003,1508.785889
447877.1426,5056922.698,1508.943604
447893.6401,5056911.393,1508.98999
447910.1377,5056900.088,1508.754517
447926.6353,5056888.783,1507.999268
447943.133,5056877.478,1506.807861
447959.6305,5056866.173,1506.757324
447976.1281,5056854.868,1507.997314
447992.6257,5056843.563,1509.484009
448009.1232,5056832.258,1510.491333
448025.6208,5056820.953,1511.024292
448042.1183,5056809.648,1511.375366
448058.6159,5056798.343,1511.325684
448075.1135,5056787.038,1511.117676
448091.6111,5056775.733,1511.357178
448108.1087,5056764.428,1511.508667
448124.6062,5056753.123,1512.170898
448141.1038,5056741.818,1513.076416
448157.6013,5056730.513,1513.9198
448174.0989,5056719.208,1514.574585
448190.5964,5056707.903,1514.969727
448207.094,5056696.598,1515.276123
448223.5915,5056685.293,1515.166504
448240.0892,5056673.988,1515.074707
448256.5867,5056662.683,1514.861938
448273.0843,5056651.378,1514.781494
448289.5818,5056640.073,1514.697632
448306.0793,5056628.768,1514.587891
448322.5769,5056617.463,1514.092651
448339.0744,5056606.158,1512.796021
448355.5719,5056594.853,1510.464233
448372.0695,5056583.548,1507.977417
448388.567,5056572.243,1505.38269
448405.0646,5056560.938,1503.40564
448421.5621,5056549.633,1501.753174
448438.0597,5056538.328,1499.445435
448454.5572,5056527.023,1495.244263
448471.0547,5056515.718,1491.433472
448487.5522,5056504.413,1489.377563
448504.0498,5056493.108,1486.686157
448520.5473,5056481.803,1485.278076
448537.0448,5056470.498,1485.108276
448553.5424,5056459.193,1484.671753
448570.0399,5056447.888,1484.532471
448586.5374,5056436.583,1484.313843
448603.0349,5056425.278,1484.060303
448619.5324,5056413.973,1483.462891
448636.03,5056402.668,1483.182129
448652.5275,5056391.363,1483.063599
448669.025,5056380.058,1483.660034
448685.5225,5056368.753,1484.301392
448702.0201,5056357.448,1485.16687
448718.5176,5056346.143,1485.769165
448735.0151,5056334.838,1485.978027
448751.5126,5056323.533,1485.701416
448768.0101,5056312.228,1484.776367
448784.5075,5056300.923,1483.079346
448801.005,5056289.618,1482.956665
448817.5025,5056278.313,1483.272949
448834,5056267.008,1483.928589
448850.4976,5056255.703,1484.147095
448866.9951,5056244.398,1484.166504
448883.4926,5056233.093,1484.512451
448899.9901,5056221.788,1486.559937
448916.4875,5056210.483,1488.860352
448932.985,5056199.178,1489.353638
448949.4825,5056187.873,1489.881592
448965.98,5056176.568,1490.228149
448982.4774,5056165.263,1490.556763
448998.975,5056153.958,1490.501709
449015.4725,5056142.653,1490.376343
449031.97,5056131.348,1490.250244
449048.4674,5056120.043,1490.77832
449064.9649,5056108.738,1490.630127
449081.4624,5056097.433,1490.227905
449097.9598,5056086.128,1490.09375
449114.4573,5056074.823,1490.27832
449130.9547,5056063.518,1493.233521
449147.4522,5056052.213,1495.650024
449163.9498,5056040.908,1498.161133
449180.4472,5056029.603,1499.982056
449196.9447,5056018.298,1501.743896
449213.4421,5056006.993,1504.146973
449229.9396,5055995.688,1506.016724
449246.437,5055984.383,1508.267944
449262.9345,5055973.078,1509.744629
449279.4319,5055961.773,1510.531372
449295.9294,5055950.468,1511.85083
449312.4269,5055939.163,1513.514648
449328.9243,5055927.858,1514.67688
449345.4218,5055916.553,1515.413818
449361.9192,5055905.248,1516.114624
449378.4167,5055893.943,1517.080933
449394.9141,5055882.638,1517.621216
449411.4115,5055871.332,1517.765625
449427.909,5055860.028,1518.177124
449444.4064,5055848.723,1519.6073
449460.9039,5055837.418,1520.600464
449477.4013,5055826.112,1521.242798
449493.8988,5055814.807,1521.717285
449510.3962,5055803.502,1522.184204
449526.8936,5055792.197,1522.691772
449543.391,5055780.892,1523.073975
449559.8885,5055769.587,1523.38501
449576.3859,5055758.282,1523.756348
449592.8833,5055746.977,1524.333862
449609.3808,5055735.672,1524.798462
449625.8782,5055724.367,1527.036865
449642.3756,5055713.062,1528.463989
449658.8731,5055701.757,1529.64563
449675.3705,5055690.452,1530.473999
449691.8679,5055679.147,1531.367798
449708.3653,5055667.842,1532.555176
449724.8627,5055656.537,1533.620483
449741.3601,5055645.232,1534.499146
449757.8576,5055633.927,1535.207886
449774.355,5055622.622,1534.785278
449790.8524,5055611.317,1534.440674
449807.3498,5055600.012,1533.77356
449823.8472,5055588.707,1534.908813
449840.3446,5055577.402,1536.213257
449856.842,5055566.097,1537.39209
449873.3394,5055554.792,1538.550415
449889.8367,5055543.487,1541.503906
449906.3341,5055532.182,1544.024536
449922.8316,5055520.877,1545.622803
449939.329,5055509.572,1548.560425
449955.8264,5055498.267,1550.78479
449972.3238,5055486.962,1553.127563
449988.8211,5055475.657,1556.320801
450005.3185,5055464.352,1558.571167
450021.8159,5055453.047,1561.394287
450038.3133,5055441.742,1563.012695
450054.8107,5055430.437,1564.988525
450071.3081,5055419.132,1566.830444
450087.8055,5055407.827,1568.741943
450104.3029,5055396.522,1571.212646
450120.8002,5055385.217,1573.366333
450137.2976,5055373.912,1575.261597
450153.795,5055362.607,1578.834351
450170.2923,5055351.302,1580.835938
450186.7897,5055339.997,1582.119385
450203.287,5055328.692,1583.790649
450219.7845,5055317.387,1585.180054
450236.2819,5055306.082,1591.139404
450252.7792,5055294.777,1594.988892
450269.2766,5055283.472,1600.861572
450285.7739,5055272.167,1605.796997
450302.2713,5055260.862,1612.102905
450318.7686,5055249.557,1620.575684
450335.266,5055238.252,1625.578003
450351.7633,5055226.947,1630.335205
450368.2608,5055215.642,1635.041748
450384.7581,5055204.337,1640.963867
450401.2554,5055193.032,1642.670044
450417.7528,5055181.727,1644.062866
450434.2501,5055170.422,1646.443726
450450.7475,5055159.117,1647.692627
