POINT_X,POINT_Y,RASTERVALU
448095.4048,5046167.72,1577.78772
448132.0106,5046113.683,1582.656494
448168.9851,5046059.101,1584.483032
448200.7011,5046012.282,1586.613525
448232.3282,5045974.284,1584.416504
448275.3113,5045922.642,1583.625854
448316.8614,5045872.722,1588.048706
448362.5563,5045824.404,1594.38562
448407.9398,5045776.415,1600.1698
448445.5497,5045736.646,1606.103027
448483.0723,5045696.969,1610.727661
448514.0876,5045664.173,1611.841431
448557.1911,5045619.834,1627.867554
448598.4853,5045577.357,1634.54541
448644.5615,5045529.96,1635.652466
448696.8492,5045476.173,1640.329224
448747.4832,5045424.088,1625.460815
448795.2579,5045374.944,1604.907349
448845.5914,5045323.168,1582.617554
448889.5183,5045272.884,1586.969238
448924.388,5045232.968,1595.960571
448973.9975,5045176.178,1598.87146
449012.8455,5045131.708,1605.207764
449044.1219,5045095.905,1597.285889
449094.563,5045038.164,1583.936035
448672.7548,5046745.07,577.7877197
448709.3606,5046691.033,582.6564941
448746.3351,5046636.451,584.4830322
448778.0511,5046589.632,586.6135254
448809.6782,5046551.634,584.4165039
448852.6613,5046499.992,583.6258545
448894.2114,5046450.072,588.0487061
448939.9063,5046401.754,594.3856201
448985.2898,5046353.765,600.1697998
449022.8997,5046313.996,606.1030273
449060.4223,5046274.319,610.7276611
449091.4376,5046241.523,611.8414307
449134.5411,5046197.184,627.8675537
449175.8353,5046154.707,634.5454102
449221.9115,5046107.31,635.6524658
449274.1992,5046053.523,640.3292236
449324.8332,5046001.438,625.4608154
449372.6079,5045952.294,604.9073486
449422.9414,5045900.518,582.6175537
449466.8683,5045850.234,586.9692383
449501.738,5045810.318,595.9605713
449551.3475,5045753.528,598.87146
449590.1955,5045709.058,605.2077637
449621.4719,5045673.255,597.2858887
449671.913,5045615.514,583.9360352
