X,Y,RASTERVALU
424921.6709,5048942.192,2650.166
426402.9869,5047368.294,2442.131
427452.2524,5046257.307,1991.673
429396.4796,5044313.079,2219.954
430507.4667,5043541.561,2168.809
431525.8714,5042924.346,2016.106
434272.4782,5041628.194,1836.219
438717.7605,5038853.525,1649.951
361896.0863,4985916.607,-4349.834
363377.4023,4984342.709,-4557.869
364426.6678,4983231.722,-5008.327
366370.895,4981287.495,-4780.046
367481.8821,4980515.976,-4831.191
368500.2868,4979898.761,-4983.894
371246.8936,4978602.61,-5163.781
375692.1759,4975827.94,-5350.049
