POINT_X,POINT_Y,POINT_Z
446983.2698,5047118.528,1508.911987
446981.9296,5047079.894,1514.92688
446965.0267,5047046.787,1505.551025
446942.7284,5047011.292,1501.396729
446913.3275,5046975.357,1497.380249
446887.1933,5046945.956,1496.553101
446861.0592,5046913.289,1495.725464
446834.9251,5046887.154,1496.449585
446808.7909,5046857.753,1494.312134
446779.39,5046828.353,1489.899048
446746.7223,5046805.485,1482.387817
446717.3214,5046782.618,1479.901367
446687.9205,5046756.484,1483.343994
446651.9861,5046730.35,1482.171021
446619.3184,5046707.482,1481.253418
446570.3169,5046665.014,1480.878052
446531.1157,5046642.147,1482.415161
446522.208,5046631.748,1483.292725
446506.047,5046617.791,1479.020142
446492.8244,5046610.445,1479.254639
446477.398,5046600.895,1472.788208
446459.0333,5046587.673,1471.98584
446447.2799,5046577.389,1473.94104
446434.7919,5046568.573,1476.57019
446422.3039,5046557.555,1476.07959
446409.0813,5046549.474,1475.626709
446395.8586,5046541.394,1475.827393
446378.2285,5046531.109,1475.560425
446362.0675,5046522.294,1476.117065
446349.5795,5046516.418,1471.867188
446336.3569,5046509.806,1473.195679
446320.196,5046501.726,1475.481934
446297.4237,5046492.911,1475.44165
446275.386,5046482.627,1473.133545
446258.4905,5046476.015,1469.46521
446243.0641,5046471.608,1469.74231
446230.3599,5046468.878,1469.814819
446405.9698,5047695.828,508.911987
446404.6296,5047657.194,514.92688
446387.7267,5047624.087,505.551025
446365.4284,5047588.592,501.396729
446336.0275,5047552.657,497.380249
446309.8933,5047523.256,496.553101
446283.7592,5047490.589,495.725464
446257.6251,5047464.454,496.449585
446231.4909,5047435.053,494.312134
446202.09,5047405.653,489.899048
446169.4223,5047382.785,482.387817
446140.0214,5047359.918,479.901367
446110.6205,5047333.784,483.343994
446074.6861,5047307.65,482.171021
446042.0184,5047284.782,481.253418
445993.0169,5047242.314,480.878052
445953.8157,5047219.447,482.415161
445944.908,5047209.048,483.292725
445928.747,5047195.091,479.020142
445915.5244,5047187.745,479.254639
445900.098,5047178.195,472.788208
445881.7333,5047164.973,471.98584
445869.9799,5047154.689,473.94104
445857.4919,5047145.873,476.57019
445845.0039,5047134.855,476.07959
445831.7813,5047126.774,475.626709
445818.5586,5047118.694,475.827393
445800.9285,5047108.409,475.560425
445784.7675,5047099.594,476.117065
445772.2795,5047093.718,471.867188
445759.0569,5047087.106,473.195679
445742.896,5047079.026,475.481934
445720.1237,5047070.211,475.44165
445698.086,5047059.927,473.133545
445681.1905,5047053.315,469.46521
445665.7641,5047048.908,469.74231
445653.0599,5047046.178,469.814819
