X,Y,RASTERVALU
423338.1292,5055441.269,2438.481934
424576.6844,5054574.28,2224.974365
428044.6386,5051168.254,2328.628662
431915.1232,5048164.757,2286.241943
433741.992,5047142.949,2228.766357
435692.7163,5045532.828,1788.232666
439005.8511,5042900.898,1722.500488
445663.0847,5038689.811,1748.008545
360312.5446,4992415.684,-4561.518066
361551.0997,4991548.695,-4775.025635
365019.054,4988142.669,-4671.371338
368889.5386,4985139.173,-4713.758057
370716.4074,4984117.365,-4771.233643
372667.1317,4982507.243,-5211.767334
375980.2665,4979875.314,-5277.499512
382637.5001,4975664.226,-5251.991455
