X,Y,RASTERVALU
447148.4489,5048721.129,1492.405884
450221.2138,5046851.671,1599.625488
451002.0675,5046254.66,1717.601929
451310.2944,5045873.543,1815.763672
451675.78,5044970.578,1703.800171
452492.748,5044153.61,1603.251099
453868.694,5043121.65,1408.193604
455072.6468,5042068.192,1609.039551
479175.1049,5080747.785,-3507.594116
482247.8698,5078878.327,-3400.374512
483028.7235,5078281.316,-3282.398071
483336.9504,5077900.199,-3184.236328
483702.436,5076997.234,-3296.199829
484519.404,5076180.266,-3396.748901
485895.35,5075148.306,-3591.806396
487099.3028,5074094.848,-3390.960449
