POINT_X,POINT_Y,RASTERVALU
424561.5832,139042.9246,1578.400269
424577.9368,139031.4111,1579.181641
424594.2905,139019.8977,1579.256348
424610.6441,139008.3843,1578.438354
424626.9977,138996.8708,1577.64563
424643.3513,138985.3574,1574.564697
424659.7049,138973.8439,1563.738647
424676.0585,138962.3305,1556.577148
424692.4122,138950.8171,1550.325073
424708.7658,138939.3036,1544.479736
424725.1194,138927.7902,1544.937012
424741.473,138916.2768,1547.028564
424757.8266,138904.7633,1551.266724
424774.1802,138893.2499,1555.882568
424790.5339,138881.7365,1560.188232
424806.8875,138870.223,1561.59021
424823.2411,138858.7096,1564.71106
424839.5947,138847.1961,1567.818115
424855.9483,138835.6827,1570.164673
424872.3019,138824.1693,1573.105225
424888.6556,138812.6558,1573.845459
424905.0092,138801.1424,1575.601929
424921.3628,138789.629,1577.574463
424937.7164,138778.1155,1578.143921
424954.07,138766.6021,1578.350464
424970.4236,138755.0887,1578.217529
424986.7773,138743.5752,1577.748047
425003.1309,138732.0618,1576.900513
425019.4845,138720.5483,1575.546021
425035.8381,138709.0349,1573.378052
425052.1917,138697.5215,1570.705933
425068.5453,138686.008,1566.515137
425084.899,138674.4946,1563.386475
425101.2526,138662.9812,1560.174683
425117.6062,138651.4677,1556.81897
425133.9598,138639.9543,1561.592651
425150.3134,138628.4409,1560.493164
425166.667,138616.9274,1560.028442
425183.0207,138605.414,1563.390869
425199.3743,138593.9005,1566.2052
425215.7279,138582.3871,1566.270996
425232.0815,138570.8737,1565.808594
425248.4351,138559.3602,1564.770874
425264.7887,138547.8468,1562.069458
425281.1424,138536.3334,1560.882813
425297.496,138524.8199,1558.049683
425313.8496,138513.3065,1555.439209
425330.2032,138501.7931,1553.182861
425346.5568,138490.2796,1549.965698
425362.9104,138478.7662,1548.48999
425379.2641,138467.2527,1547.252441
425395.6177,138455.7393,1546.017822
425411.9713,138444.2259,1544.406128
425428.3249,138432.7124,1542.871826
425444.6785,138421.199,1541.506592
425461.0321,138409.6856,1540.139404
425477.3858,138398.1721,1538.794189
425493.7394,138386.6587,1537.495972
425510.093,138375.1453,1535.483276
425526.4466,138363.6318,1533.915039
425542.8002,138352.1184,1532.293091
425559.1538,138340.6049,1532.265381
425575.5075,138329.0915,1534.913574
425591.8611,138317.5781,1538.431152
425608.2147,138306.0646,1549.810669
425624.5683,138294.5512,1564.879639
425640.9219,138283.0378,1569.201172
425657.2755,138271.5243,1573.037964
425673.6292,138260.0109,1575.894287
425689.9828,138248.4975,1576.319458
425706.3364,138236.984,1572.110596
425722.69,138225.4706,1561.800049
425739.0436,138213.9571,1558.911255
425755.3972,138202.4437,1555.397461
425771.7509,138190.9303,1550.771851
425788.1045,138179.4168,1549.699707
425804.4581,138167.9034,1547.883301
425820.8117,138156.39,1546.963989
425837.1653,138144.8765,1548.810547
425853.5189,138133.3631,1549.707642
425869.8726,138121.8497,1548.706787
425886.2262,138110.3362,1545.521973
425902.5798,138098.8228,1543.10437
425918.9334,138087.3093,1541.626221
425935.287,138075.7959,1540.725464
425951.6406,138064.2825,1543.142456
425967.9943,138052.769,1544.605591
425984.3479,138041.2556,1546.667603
426000.7015,138029.7422,1549.901001
426017.0551,138018.2287,1552.796753
426033.4087,138006.7153,1555.853882
426049.7623,137995.2019,1559.613647
426066.116,137983.6884,1562.796265
426082.4696,137972.175,1566.436401
426098.8232,137960.6615,1570.377075
426115.1768,137949.1481,1573.530518
426131.5304,137937.6347,1573.855469
426147.884,137926.1212,1574.243042
426164.2377,137914.6078,1574.671997
426180.5913,137903.0944,1575.25061
426196.9449,137891.5809,1575.639038
426213.2985,137880.0675,1576.295898
426229.6521,137868.5541,1576.768677
426246.0058,137857.0406,1577.248291
426262.3594,137845.5272,1577.980225
