POINT_X,POINT_Y,RASTERVALU
446699.7666,5046496.088,1523.383789
446790.59,5046457.279,1545.823242
446934.7216,5046395.692,1558.072021
447050.7232,5046344.69,1541.968872
447148.4346,5046310.782,1531.307129
447252.0025,5046274.84,1538.347778
447376.353,5046231.687,1541.259277
447457.7605,5046211.686,1540.852539
447535.1055,5046203.185,1537.595581
447644.982,5046172.684,1538.939575
447777.0496,5046154.988,1521.534668
447779.3279,5046154.683,1521.534668
447917.7676,5046150.682,1526.66272
446699.7666,5048228.138,523.3837891
446790.59,5048189.329,545.8232422
446934.7216,5048127.742,558.0720215
447050.7232,5048076.74,541.9688721
447148.4346,5048042.832,531.3071289
447252.0025,5048006.89,538.3477783
447376.353,5047963.737,541.2592773
447457.7605,5047943.736,540.8525391
447535.1055,5047935.235,537.5955811
447644.982,5047904.734,538.9395752
447777.0496,5047887.038,521.534668
447779.3279,5047886.733,521.534668
447917.7676,5047882.732,526.6627197
